ID,lat,lon,ele,time,name
203,43.94938703,-71.735246,548.818787,2022-05-25T12:02:29Z,KBWA 25V22 3
204,43.94888998,-71.73504098,530.259216,2022-05-26T11:07:51Z,KBWA 26V22 1
205,43.94959599,-71.73556997,553.633728,2022-05-26T16:42:26Z,KBWA 26V22 2
206,43.948779,-71.73902096,603.228577,2022-07-02T14:43:22Z,KBYA 02VII22 1
207,43.94867398,-71.73881401,601.87561,2022-07-02T14:48:00Z,KBYA 02VII22 2
208,43.94835597,-71.73893999,606.165039,2022-07-02T14:52:37Z,KBYA 02VII22 3
209,43.94735198,-71.73886598,609.199829,2022-07-02T15:05:31Z,KBYA 02VII22 4
210,43.94738702,-71.73900898,611.258179,2022-07-02T15:06:09Z,KBYA 02VII22 5
211,43.94742499,-71.73889004,606.697388,2022-07-09T14:10:39Z,KBYA 09VII22 1
212,43.94844398,-71.73980802,610.513672,2022-05-20T14:16:40Z,KBYA 20V22 1
213,43.94845001,-71.74018303,611.658325,2022-05-20T14:44:23Z,KBYA 20V22 2
214,43.94759699,-71.73963401,600.483154,2022-05-20T15:03:30Z,KBYA 20V22 3
215,43.94702903,-71.73894703,607.237915,2022-05-21T11:22:14Z,KBYA 21V22 1
216,43.94698704,-71.73891703,607.219116,2022-05-21T11:22:36Z,KBYA 21V22 2
217,43.94621196,-71.74021798,587.704041,2022-06-21T13:02:36Z,KBYA 21VI22 1
218,43.94935702,-71.73983099,610.906311,2022-05-26T11:15:28Z,KBYA 26V22 1
219,43.94795397,-71.73985798,624.372559,2022-06-26T15:05:13Z,KBYA 26VI22 1
220,43.94897598,-71.74036399,620.945618,2022-06-28T11:52:03Z,KBYA 28VI22 1
221,43.94983403,-71.73969302,639.630615,2022-05-30T10:52:42Z,KBYA 30V22 1
222,43.95041398,-71.73972898,627.41156,2022-05-30T11:28:11Z,KBYA 30V22 2
223,43.94939398,-71.73799996,571.43573,2022-07-03T10:44:11Z,KBYA 3VII22 1
224,43.948894,-71.73900596,604.321289,2022-07-05T11:58:35Z,KBYA 5VII22 1
